Industry_Sector,Round,Investor_Equity_Total,Age,Round_Equity_Total,Company_Status,Investment_Date,Num_Investors,Disclosed_Equity_Contribution,Location,Duration
Consumer Cyclicals,4,650000000,0,14350000000,Active,2018-07-11,5,15106733100,California,106
Technology,4,36900000,54,922510000,Active,2021-07-14,4,7288210000,New York,94
Consumer Cyclicals,2,2500000000,64,4500000000,Went Public,2020-07-10,4,8949999800,California,544
Technology,6,50000000,37,3706500000,Active,2014-10-22,9,3478500500,Florida,768
Technology,3,80600000,29,,Active,2020-05-26,3,2011599200,Massachusetts,605
Industrials,6,29999000,20,670001000,Active,2020-04-10,9,2040528300,Massachusetts,166
Financials,2,300000000,20,1500000000,Active,2018-10-16,4,1568950000,Florida,92
Technology,1,1500000000,0,2250000000,Active,2021-07-01,1,1500000000,New York,174
Industrials,2,8940000,13,3087816000,Active,2022-02-14,2,1421124000,Colorado,2
Healthcare,2,1100000000,39,6800000000,Acquisition,2017-08-09,2,1300000000,Non-US,1365
Consumer Cyclicals,3,160000000,27,840000000,Bankruptcy - Chapter 11,2017-04-13,6,1358999800,Arizona,1521
Healthcare,5,110000000,46,,Went Public,2013-11-20,11,1742740800,Massachusetts,2793
Real Estate,7,474528000,0,,Active,2017-06-14,7,951379000,New York,1366
Technology,6,12000000,2,764900000,Active,2017-03-15,7,1365264500,California,923
Technology,7,15000000,13,1700000000,Went Public,2018-02-13,9,1120845700,California,28
Technology,2,185000000,40,815000000,Active,2021-05-20,3,909999800,California,203
Technology,3,8000000,6,,Active,2020-04-07,3,906500000,Massachusetts,428
Healthcare,3,150000000,28,,Active,2019-05-13,3,845000100,Massachusetts,723
Healthcare,1,821098000,23,,Went Public,2020-06-23,3,1024596600,Washington,429
Industrials,2,36900000,39,2923360000,Active,2020-09-01,2,813539600,Nevada,388
Industrials,3,175000000,11,,Active,2020-11-18,3,800000000,California,449
Financials,4,160000000,53,700000000,Active,2016-05-24,4,794999500,New Jersey,1819
Financials,3,160000000,29,,Went Public,2017-06-01,7,1313559400,Minnesota,1708
Technology,3,175000000,25,1000000000,Active,2017-01-17,4,875000000,New York,854
Healthcare,2,755000000,0,,Active,2020-11-23,2,765000000,California,81
Technology,1,750000000,26,1000000000,Acquisition,2020-03-04,2,1750000500,California,14
Healthcare,4,400000,36,,Active,2018-04-20,5,710400200,New York,780
Financials,4,1000000,0,,Active,2018-02-12,4,706999600,California,702
Financials,5,32500000,44,5000000,Went Public,2015-09-16,10,1632499800,New York,2182
Financials,6,2500000,16,,Acquisition,2013-05-06,7,653232000,Illinois,921
Technology,2,200000000,38,1700000000,Active,2020-07-01,2,649999800,California,407
Consumer Cyclicals,2,585000000,0,,Active,2017-07-13,3,635000000,New York,818
Technology,4,18605000,29,5075000000,Active,2020-05-21,4,629695000,California,615
Healthcare,2,102538000,28,,Active,2021-05-05,2,620302600,California,13
Technology,6,4543000,33,740000000,Went Public,2014-02-03,10,2423771600,California,1029
Healthcare,3,71799000,46,,Active,2018-10-19,4,663146000,New Jersey,482
Healthcare,5,0,2,,Active,2018-05-01,5,592620900,California,1176
Technology,4,15000000,13,4000000000,Acquisition,2014-01-22,4,583599600,California,2679
Financials,3,207132000,36,,Active,2020-12-29,4,557132000,Georgia,2
Technology,4,85000000,26,1775000000,Active,2020-07-22,4,526499800,New Jersey,510
Technology,5,4600000,8,,Active,2020-08-31,5,520324700,Massachusetts,278
Technology,4,350750000,32,3549250000,Active,2021-08-24,5,517619500,New York,16
Technology,4,30000000,35,1690000000,Active,2020-11-18,5,1039000100,New York,436
Technology,4,48000000,23,1190000000,Active,2020-09-08,4,487999800,New York,288
