Age,Duration,Share_Ratio,Investor_Equity_Total,Company_Status,Num_Investors,lSuccess,lNum_Investors
[:Age 1.0],[:Duration 1.0],[:Share_Ratio 1.0],[:Investor_Equity_Total 1.0],[:Company_Status 1.0],[:Num_Investors 1.0],[:lSuccess 1.0],[:lNum_Investors 1.0]
[:Investor_Equity_Total 0.2815686378344214],[:years -0.6883521479962248],[:Round -0.32465782773950025],[:lSuccess 0.6236501096049969],[:years -0.35317539201058584],[:lNum_Investors 0.9208449551181664],[:Investor_Equity_Total 0.6236501096049969],[:Num_Investors 0.9208449551181664]
[:Round -0.19105034517278172],[:Num_Investors 0.45929532012169755],[:lSuccess -0.2230417163050613],[:Success 0.3523727715153548],[:Duration 0.23689794670212708],[:Round 0.7079463058950979],[:lNum_Investors 0.5815872257956337],[:Round 0.7896225414125009]
[:years 0.14565483464645343],[:lNum_Investors 0.4303443148624324],[:Company_Status 0.22051726004669486],[:Age 0.28156863783442154],[:Share_Ratio 0.22051726004669464],[:years -0.5244607449258821],[:Success 0.5005449317791505],[:lSuccess 0.5815872257956336]
[:Share_Ratio 0.14158924679650112],[:Round 0.2603308052630885],[:lNum_Investors -0.20782184409782284],[:years 0.18715157968011484],[:Success -0.07682326244645944],[:lSuccess 0.49044045967064803],[:Num_Investors 0.490440459670648],[:years -0.4656560540869324]
[:Industry_Sector 0.06617587997877108],[:lSuccess 0.24575973799727885],[:Num_Investors -0.1491951972150994],[:Share_Ratio 0.13817566311907276],[:lSuccess -0.07163285160236608],[:Duration 0.45929532012169755],[:Round 0.4818712363392884],[:Duration 0.4303443148624324]
[:Duration 0.06343427208908045],[:Company_Status 0.23689794670212708],[:Age 0.14158924679650126],[:Round -0.12192889785761477],[:Location -0.0491332736435613],[:Success 0.22250083748393754],[:Duration 0.2457597379972789],[:Success 0.21924752252443935]
[:Success 0.05734388922083673],[:Location 0.07209414785902674],[:Investor_Equity_Total 0.13817566311907284],[:Industry_Sector 0.08721876301398478],[:Round -0.03134872967032064],[:Share_Ratio -0.1491951972150995],[:Share_Ratio -0.22304171630506145],[:Share_Ratio -0.2078218440978228]
[:Location 0.046405791806619925],[:Share_Ratio 0.06759132919985576],[:years -0.09066726225916609],[:Duration 0.02906896985348584],[:Age -0.024065562280218306],[:Industry_Sector 0.027669783256151027],[:years -0.08205994324415615],[:Industry_Sector 0.020826526362409965]
[:lSuccess 0.03862500368626905],[:Industry_Sector 0.06619030036111631],[:Industry_Sector 0.07018971416877949],[:Num_Investors -0.021587969888019823],[:Num_Investors -0.022032297743896805],[:Company_Status -0.022032297743898015],[:Company_Status -0.07163285160236635],[:Company_Status -0.016600555941895724]
[:Company_Status -0.024065562280218337],[:Age 0.0634342720890797],[:Duration 0.06759132919985676],[:Location -0.021436935000970422],[:Investor_Equity_Total -0.02042873843004054],[:Investor_Equity_Total -0.021587969888020916],[:Location -0.05302270609975177],[:Investor_Equity_Total 0.011365901800669466]
[:Num_Investors 0.007997862255628324],[:Success 0.034944807473726545],[:Success 0.008099919078392226],[:Company_Status -0.02042873843004264],[:Industry_Sector 0.017166485141806676],[:Location -0.012540530402222246],[:Age 0.0386250036862685],[:Location -0.00831545150421201]
[:lNum_Investors -0.006556450337621076],[:Investor_Equity_Total 0.029068969853483048],[:Location 0.0060033473879084346],[:lNum_Investors 0.011365901800670507],[:lNum_Investors -0.01660055594189558],[:Age 0.007997862255636107],[:Industry_Sector 0.023199967292845704],[:Age -0.006556450337611271]
