col-name,datatype,n-valid,n-missing,min,mean,mode,max,standard-deviation,skew,first,last
Age,int16,245,0,0.0,22.044897959183672,,106.0,17.587545206863847,0.8210233338751667,1.0,5.0
Company_Status,float64,245,0,,,1.0,,,,6.0,0.0
Duration,int32,245,0,0.0,582.8204081632653,,3232.0,663.0452599897799,1.7319471416219465,770.0,1883.0
Industry_Sector,float64,245,0,,,0.0,,,,3.0,0.0
Investor_Equity_Total,int64,245,0,0.0,60.13469387755102,,2500.0,210.83394673221034,8.484558175880183,3.0,25.0
Location,float64,245,0,,,1.0,,,,0.0,1.0
Num_Investors,int16,245,0,1.0,3.779591836734694,,17.0,2.4395124808443556,1.5479710184530402,4.0,7.0
Round,int16,245,0,1.0,2.763265306122449,,8.0,1.3704573063413965,0.6657689132011365,4.0,4.0
Round_Equity_Total,int64,245,0,2.0,824.2448979591836,,14350.0,1314.676522119406,5.837653376484456,137.0,490.0
Share_Ratio,float64,245,0,0.0,0.11694763689811873,,0.9921276595744681,0.1660635286593355,2.9328208326327836,0.02182087967239586,0.05102040816326531
Success,int64,245,0,228800.0,4.306186375510204E8,,1.51067331E10,1.268566160508764E9,8.412632624915972,5.45166E7,9.218999E8
lNum_Investors,float32,245,0,0.0,1.1306045437372092,,2.833213344056216,0.650680024807672,-0.20724463238162974,1.3862943611198906,1.9459101490553132
lSuccess,float64,245,0,12.34060353848778,18.501557053153217,,23.438406382045383,1.81716207248342,-0.539465561926744,17.814015800412186,20.641947207297182
years,int64,245,0,2012.0,2018.5836734693878,,2022.0,2.4690997678167212,-0.9263033117775702,2016.0,2015.0
