colname,gain,importance-type,loss
Round_Equity_Total,4.53774865252307,gain,0.7673510252359902
Company_Status,1.2790033036545454,gain,0.7673510252359902
Round,1.0525220562444304,gain,0.7673510252359902
Investor_Equity_Total,0.9312140450518055,gain,0.7673510252359902
Location,0.8462442706000001,gain,0.7673510252359902
Duration,0.8336343574454512,gain,0.7673510252359902
years,0.5319770216124999,gain,0.7673510252359902
Age,0.4791569642465788,gain,0.7673510252359902
Share_Ratio,0.40828516217674404,gain,0.7673510252359902
Industry_Sector,0.23299046251654157,gain,0.7673510252359902
